video_id,comment_text,predicted_label,confidence,prob_positive,prob_neutral,prob_negative,like_count,reply_count,overall_sentiment_score,positive_percent,neutral_percent,negative_percent,analyzed_at
D2A_46EIfLA,"Poor Harry..",negative,0.5313,0.3887,0.0801,0.5313,39997,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"How did vik and Harry get ranked as the meanest that one time. They’re both so wholesome.",positive,0.8502,0.8502,0.0017,0.1482,5281,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Deji: granny get out the box Calfreezy: granny protect yourself *Chip: hit the granny*",negative,0.5138,0.4786,0.0077,0.5138,1558,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"The fact vik was happy to share his box with Ethan and then gave something to the fan as well was so wholesome what a great guy",positive,0.9740,0.9740,0.0011,0.0249,9647,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"vikk and tobi making sure the guy got smth he actually wanted, is the best, they both really are kind people, true class, well done",positive,0.9838,0.9838,0.0012,0.0150,4382,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Harry and Vikk were rated the meanest sidemen and theyre the most charitable in the end.",positive,0.8965,0.8965,0.0015,0.1020,4353,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Harry picking that box with the granny yelling at him is just perfection. 😂",positive,0.9569,0.9569,0.0011,0.0419,4988,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Callus is an evil genius, and that was a wholesome ending for Harry lol",positive,0.8962,0.8962,0.0016,0.1023,2813,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"the way vik was trying to show off the stuff in his box but everybody was invested in the dirt bike😭😭",negative,0.7636,0.2304,0.0060,0.7636,325,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Give the editors a raise…my heart sinked when Ethan sinked in the horseshit",negative,0.9684,0.0308,0.0008,0.9684,5241,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"I genuinely felt so bad for Harry until I saw the Gran give him the money 😂",negative,0.5988,0.3948,0.0063,0.5988,2804,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Danny getting scared of the spider box after it doesn’t work is the most Danny thing ever",positive,0.5515,0.5515,0.0042,0.4443,4746,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Vik being a humble man as usual is so wholesome",positive,0.9774,0.9774,0.0012,0.0214,978,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"It was so wholesome to see how Deji was excited to show off his stuff for Josh 😭 He was that gassed he forgot to say hello to his barber and didn’t even remember Jarvis",positive,0.9637,0.9637,0.0012,0.0351,4498,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Harry and Vik gotta be the most humble and nice guys on sidemen",positive,0.8207,0.8207,0.0032,0.1762,8941,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Theo making a terrible box is infinitely funnier than someone else purposefully making a terrible box",negative,0.6314,0.3661,0.0025,0.6314,17867,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"34:00 this whole sequence has got to be one of the funniest moments in the sidemen 😭 deji struggling with the mask then breaking it with his head game, Tobi getting mad over the box, and Theo trying t",positive,0.9709,0.9709,0.0010,0.0281,54,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Vik is such a wholesome guy , he gave ethan as well as the guy the gifts.",positive,0.9763,0.9763,0.0011,0.0226,13953,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Poor Harry I can’t 😭😭 “I’m trying” “I’m really trying” aww HES so sweet",positive,0.8388,0.8388,0.0022,0.1590,1963,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"KSI is a fun special guest, they should really do more videos with him in it",positive,0.9380,0.9380,0.0013,0.0607,6397,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Vik is so selfless man, what a little hero.",positive,0.9651,0.9651,0.0014,0.0335,5973,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Harry and vik were so wholesome in this vid and they always will be",positive,0.9813,0.9813,0.0011,0.0176,2003,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"bro when callux said he spent all the money on concrete, I just felt my heart drop below the floor. Thank God Harry actually got the money",positive,0.6143,0.6143,0.0023,0.3834,1944,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Callux dropped the funniest move I've ever seen. The woman having the money in her purse the whole time was pure genius.",positive,0.9661,0.9661,0.0011,0.0328,3,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Don’t know why people hate Vikk. He’s such a kind guy.",positive,0.9606,0.9606,0.0012,0.0382,8026,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"33:03 vikk offering gift to the golden ticket winner after giving ethan bike is why we love vikkstar ⭐⭐⭐⭐⭐",positive,0.9220,0.9220,0.0014,0.0766,2173,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"No sidemen sunday this week?? 10/1 Twitter update: they said they were having problems with the upload and hopefully it will be out Monday",negative,0.7124,0.2851,0.0026,0.7124,34,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"W2S and Vikkstar duo never disappoints",positive,0.9357,0.9357,0.0022,0.0620,5863,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"KSI instantly checking on Josh and making sure Josh was okay after the painting's canvas' wood hits him, is a sweet and wholesome moment",positive,0.9742,0.9742,0.0010,0.0247,3231,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Felt so bad for Harry and then immediately felt happy for him, he deserves the world ❤",positive,0.9808,0.9808,0.0012,0.0181,2733,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"51:23 Harry is completely exhausted both mentally and physically 🤣🤣",negative,0.6407,0.3570,0.0024,0.6407,106,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"I died when Deji said Alfred instead of Jarvis 😂😂😂😂😂",positive,0.5887,0.5887,0.0073,0.4040,621,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"It's good to see sidemen inviting special guests like KSI !!",positive,0.9271,0.9271,0.0015,0.0714,2311,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Vik is such a nice guy man! Deserves everything going on for him!",positive,0.9781,0.9781,0.0011,0.0208,1887,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Vikk is honestly a sweetheart and Im happy for Ethan cause he had a rough start. The look on his face was awesome. JJ with simon says XD omg. That was so mean to do to Harry, I started crying for him",positive,0.9771,0.9771,0.0011,0.0218,15,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Ksi instantly checking on Josh to see if he was ok was so wholesome",positive,0.8789,0.8789,0.0049,0.1163,2158,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"harry giving the money to the people after is the most wholesome thing ever. after all that",positive,0.9659,0.9659,0.0012,0.0329,883,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"I swear to god, vik is winning us over time and time again every week. He has such a golden heart",positive,0.9864,0.9864,0.0015,0.0121,1880,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"34:53 is the genuinely maddest I've seen Tobi ever lmao, get well soon Theo.",negative,0.6721,0.3259,0.0021,0.6721,339,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Harry and the granny interaction was the absolute best. 😂 Him giving her and the crew money too was class. 🙌🏼",positive,0.9850,0.9850,0.0012,0.0138,632,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"That ITS MINE at 11:14 was so funny I had to rewind it 😂😂😂",positive,0.7026,0.7026,0.0132,0.2841,5,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"With KSI as a special guest who knows what will happen in this video",positive,0.7069,0.7069,0.0021,0.2910,1886,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Vik harry and Tobi just so wholesome - I will always love these 3 especially Vik he’s always been so kind",positive,0.9796,0.9796,0.0011,0.0193,1623,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"JJ speaking in Ethan's ears like a demon to steal Vikks box has to be the best moment of the video .😂",positive,0.9383,0.9383,0.0012,0.0605,677,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"gotta love harry, what a nice guy. he even split the money that he could of got all for himself",positive,0.9598,0.9598,0.0012,0.0389,100,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Vikkstars a absolute legend he was so humble that 2 people stole from his box. Huge prays for Vik",positive,0.9775,0.9775,0.0011,0.0214,1519,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Harry giving the money away is a very underrated thing from him. If I wasted all that energy and time on what he was doing I’d be frustrated, but he was so forgiving at the end of it. Proud Harry mome",positive,0.9562,0.9562,0.0011,0.0427,476,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"25:29 Second time lucky Chip was mad for that one 💀",negative,0.5401,0.4518,0.0081,0.5401,47,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"The golden ticket winner was pretty ungrateful, I would be gassed just to be there.",positive,0.5197,0.5197,0.0243,0.4560,2,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Harry being so close to crying when he heard there's no money is hilarious",negative,0.6000,0.3972,0.0028,0.6000,900,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"I love how obvious Deji made his box. Vik is so sweet, having the fan take from his box instead... and I swear Harry asked Granny if she knows where the money is at the start",positive,0.7689,0.7689,0.0019,0.2292,1014,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"we should lock him back in the box Harry is the definition of letting intrusive thoughts win, absolute mad lad",negative,0.9405,0.0585,0.0011,0.9405,670,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"32:42 looooool the guy who was meant to steal one item is genuinely pissed 😂😂😂😂😂😂😂😂 bro defo thought he was getting a 7 grand item",negative,0.9050,0.0936,0.0014,0.9050,2,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"27:12 everyone was so nice asking if josh was okay, but seeing jj so concerned was actually so wholesome and kind😭",positive,0.9556,0.9556,0.0012,0.0432,632,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"13:08 Chip: “Stevie Wonder…is that raci…?” OMG chip absolutely killed me with this line 😂",positive,0.8405,0.8405,0.0019,0.1576,95,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Bro took a PS5 over selling £2700 boots... actually biggest fumble I've seen in a while",negative,0.9569,0.0421,0.0010,0.9569,2,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"21:45 - NOT THE FIRST TIME A BRIT STOLE FROM AN INDIAN",negative,0.5674,0.4297,0.0029,0.5674,85,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"11:15 “it’s mine😡” has me dead 😭",negative,0.7750,0.2203,0.0048,0.7750,49,233,69,69,0,31,2026-04-14T21:58:04.085Z
D2A_46EIfLA,"Honestly Vikk is actually so sick man✨ Just respect for him",positive,0.9729,0.9729,0.0012,0.0259,454,233,69,69,0,31,2026-04-14T21:58:04.085Z
